customer_id,age,monthly_income_naira,monthly_spend_naira,account_tenure_years,transactions_per_month
CUST0001,40,534786,249469,9.2,26
CUST0002,24,122552,83687,1.6,8
CUST0003,32,872255,390028,9.9,47
CUST0004,29,370437,190149,6.9,13
CUST0005,54,1338155,541977,4.1,27
CUST0006,28,38885,25307,3.7,5
CUST0007,41,1914812,539732,8.0,37
CUST0008,30,556759,279939,2.7,18
CUST0009,43,398415,182941,6.6,28
CUST0010,39,546747,267953,6.9,25
CUST0011,54,1925608,914459,14.8,52
CUST0012,55,1127643,383069,14.1,49
CUST0013,24,42947,29087,0.9,9
CUST0014,37,319054,191601,7.8,14
CUST0015,34,1593458,489690,11.3,52
CUST0016,29,393008,225529,9.0,20
CUST0017,32,127855,75468,1.1,4
CUST0018,41,369388,170724,5.8,13
CUST0019,36,1998261,615571,5.2,53
CUST0020,31,43206,29809,2.6,14
CUST0021,18,146614,80380,4.0,5
CUST0022,38,587461,292007,7.1,14
CUST0023,31,413731,174066,8.0,19
CUST0024,23,67318,53565,1.3,3
CUST0025,42,587032,290286,5.3,28
CUST0026,32,143149,97618,2.6,3
CUST0027,56,1945929,750508,4.9,48
CUST0028,44,901622,302513,5.9,23
CUST0029,20,39238,21238,4.3,12
CUST0030,28,295439,173143,3.1,27
CUST0031,38,1615930,465257,14.1,27
CUST0032,42,1132946,371528,7.8,53
CUST0033,33,1461416,560256,7.7,22
CUST0034,18,92255,48936,4.0,7
CUST0035,46,289031,117947,7.1,24
CUST0036,51,777735,342682,9.0,51
CUST0037,23,126441,94219,4.7,9
CUST0038,45,946399,442944,12.5,28
CUST0039,46,1854239,618809,4.6,22
CUST0040,32,56653,29757,4.1,11
CUST0041,26,73636,36930,3.5,9
CUST0042,46,1086854,376022,13.2,42
CUST0043,56,886446,298222,9.5,21
CUST0044,49,295294,147664,7.5,19
CUST0045,37,795062,362003,9.5,40
CUST0046,31,341962,215833,4.0,17
CUST0047,31,106369,53714,4.8,8
CUST0048,42,980566,279283,7.7,43
CUST0049,34,86666,62266,3.2,13
CUST0050,48,820351,372562,10.3,27
CUST0051,46,512518,299452,4.5,26
CUST0052,27,137531,105784,5.0,9
CUST0053,35,418366,185094,5.4,19
CUST0054,29,94721,54233,0.5,12
CUST0055,46,239994,154670,8.1,29
CUST0056,34,971850,384705,12.2,39
CUST0057,37,495964,227834,2.6,27
CUST0058,31,1204906,565332,5.5,35
CUST0059,38,1840342,529060,4.1,26
CUST0060,54,799744,280081,6.3,30
CUST0061,28,73016,37636,3.2,11
CUST0062,33,91290,67003,1.5,4
CUST0063,53,2147540,672072,15.0,37
CUST0064,39,492659,228308,8.0,24
CUST0065,44,419189,241566,8.2,16
CUST0066,29,122516,64577,1.0,7
CUST0067,39,1063615,503593,8.4,52
CUST0068,29,106507,77589,2.0,8
CUST0069,20,104796,59929,2.8,12
CUST0070,19,91028,51700,1.9,5
CUST0071,46,1183531,546333,14.1,50
CUST0072,28,285091,163708,5.8,24
CUST0073,47,979851,373094,11.7,47
CUST0074,32,351092,182367,6.3,15
CUST0075,18,117553,82480,4.9,12
CUST0076,43,300007,162864,8.6,22
CUST0077,43,582720,366985,4.2,12
CUST0078,46,477156,299140,9.4,16
CUST0079,39,1722254,773850,11.0,29
CUST0080,32,121294,83700,2.9,3
CUST0081,21,43904,25622,4.2,12
CUST0082,47,427408,206251,9.9,17
CUST0083,28,494814,239448,5.8,12
CUST0084,47,355847,181156,6.7,14
CUST0085,21,137107,90339,2.9,7
CUST0086,37,293291,127082,5.6,25
CUST0087,35,1002441,403847,10.2,24
CUST0088,49,574659,280178,9.0,21
CUST0089,33,1921862,928316,9.0,53
CUST0090,44,397210,166375,8.1,23
CUST0091,19,126893,66991,3.1,7
CUST0092,50,909659,360732,4.4,31
CUST0093,54,1315595,452875,8.7,22
CUST0094,27,44351,27069,4.0,14
CUST0095,31,2094294,886906,8.6,38
CUST0096,29,398624,212105,9.3,15
CUST0097,34,868058,282418,14.3,29
CUST0098,19,134575,93933,2.8,12
